V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V39F	V40	V40F	V41	V42	V43	V44	V45	V46	V47	V48	V48F	V49	V49F	V50	V51	V51F	V52	V53	V54	V55	V56	V57	V58	V59	V60	V61	V62	V63	V64	V65	V66	V67	V68	V69	V70	V71	V72	V73	V74	V75	V76	V76F	V77	V77F	V78	V78F	V79	V79F	V80	V80F	V81	V81F	V82	V82F	V83	V83F	V84	V84F	V85	V85F	V86	V86F	V87	V87F	V88	V88F	V89	V89F	V90	V90F	V91	V91F	V92	V93	V93F	V94	V94F	V95	V95F	V96	V96F	V97	V97F	V98	V98F	V99	V99F	V100	V100F	V101	V101F	V102	V102F	V103	V103F	V104	V105	V105F	V106	V107	V107F	V108	V108F	V109	V110	V110F	V111	V111F	V112	V112F	V113	V113F	V114	V115	V115F	V116	V116F	V117	V117F	V118	V118F	V119	V119F	V120	V120F	V121	V121F	V122	V122F	V123	V123F	V124	V124F	V125	V125F	V126	V126F	V127S	V127	V127F	V128	V128F	V129	V130	V130F	V131	V131F	V132	V132F	V133	V133F	V134	V134F	V135	V135F	V136	V136F	V137	V137F	V138	V138F	V139	V139F	V140	V140F	V141	V141F	V142	V142F	V143	V143F	V144	V144F	V145	V145F	V146	V146F	V147	V147F	V148	V148F	V149	V149F	V150	V150F	V151	V151F	V152	V152F	V153	V154	V154F	V155	V155F	V156	V156F	V157	V157F	V158	V158F	V159	V159F	V160	V160F	V161	V161F	V162	V162F	V163	V163F	V164	V164F	V165	V165F	V166	V166F	V167	V167F	V168	V168F	V169	V169F	V170	V170F	V171	V171F	V172	V173	V173F	V174	V174F	V175	V175F	V176	V176F	V177	V177F	V178	V178F	V179	V179F	V180	V180F	V181	V181F	V182	V182F	V183	V183F	V184	V184F	V185	V185F	V186	V186F	V187	V187F	V188	V188F	V189	V189F	V190	V190F	V191	V192	V192F	V193	V193F	V194	V194F	V195	V195F	V196	V196F	V197	V198	V198F	V199	V199F	V200	V200F	V201	V201F	V202S	V202	V202F	V203	V204	V204F	V205	V205F	V206	V207	V208	V209	V210	V210S	V211	V212	V212F	V213	V214	V214F	V215	V216	V217	V218	V219	V220	V221	V222	V223	V223S	V224	V225	V226	V227	V228	V229	V230	V231	V232	V233	V233S	V234	V235
010000000070100000000	KILBY CORRECTIONAL FACILITY	 	 	 	MONTGOMERY	AL	36130	P. O. BOX 150	MT. MEIGS	AL	36057	999	999	9999	9999	999	999	9999	 	2	1	2	 	1	1	1	0	0	0	0	0	0	0	1	PRISON INDUSTRY	1	3	0	9	440	0	1969	0	0	0	0	1	9	0	0	0	0	2	0	0	9999	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	9	9999	527	0	0	0	514	0	514	0	0	0	0	0	0	0	514	0	263	0	249	0	0	0	0	0	0	0	0	0	0	0	2	0	OTHER	514	0	1	0	336	0	127	0	50	0	514	0	508	0	6	0	0	0	514	0	0	0	1	1	0	2	0	0	41	0	1	0	0	1	0	3	0	0	0	 	0	0	4	0	9999	8	9999	8	9999	8	999	8	9	8	9999	8	9999	8	9999	8	999	8	9	8	 	99	8	9999	8	2	9999	8	999	8	999	8	99	8	999	8	999	8	999	8	212	0	99	8	999	8	999	8	212	0	999	8	3	0	10	0	133	0	25	0	18	0	13	0	0	8	0	8	6	0	4	0	 	0	8	0	8	160	0	52	0	50	0	99	8	160	0	99	8	1	0	99	8	1	0	9	8	999	8	9	8	999	8	9	8	999	8	9	8	 	999	8	99	8	212	0	99	8	24	0	99	8	134	0	99	8	999	8	99	8	99	8	9	8	99	8	9	8	999	8	9	8	99	8	9	8	 	999	8	9	8	158	0	99	8	237	0	2	999	0	0	0	29	0	0	0	 	0	0	1	0	0	999	9	0	1	0	0	0	 	0	9999	0	2	999	0	1	1	1	0	0	0	0	0	1	NOT SPECIFIED	0	1	1	1	0	0	1	1	0	1	MENTAL HEALTH PROGRAM	0	MONTGOMERY COUNTY
010000000070200000000	W C HOLMAN CORRECTIONAL FACILITY	 	 	 	MONTGOMERY	AL	36130	HOLMAN 3700	ATMORE	AL	365033700	999	999	9999	9999	999	999	9999	 	2	1	2	 	1	0	0	0	0	0	0	0	0	0	0	 	1	3	9999	8	640	0	1969	0	0	0	0	1	9	9999	0	999	0	2	9999	0	9999	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	9	9999	1016	0	0	0	996	0	996	0	0	0	0	0	0	0	996	0	309	0	684	0	0	0	0	0	0	0	0	0	0	0	3	0	OTHER	996	0	161	0	764	0	14	0	57	0	996	0	996	0	0	0	0	0	996	0	166	0	1	2	0	2	0	0	35	0	9	0	0	29	0	155	0	166	0	 	0	0	350	0	9999	8	9999	8	9999	8	999	8	9	8	9999	8	9999	8	9999	8	999	8	9	8	 	99	8	9999	8	2	9999	8	999	8	999	8	99	8	999	8	999	8	999	8	169	0	99	8	999	8	999	8	169	0	999	8	2	0	4	0	124	0	20	0	10	0	4	0	99	8	99	8	4	0	1	0	 	999	8	999	8	140	0	29	0	82	0	99	8	83	0	99	8	999	8	99	8	4	0	9	8	999	8	9	8	999	8	9	8	999	8	9	8	 	999	8	99	8	169	0	99	8	67	0	99	8	74	0	99	8	999	8	99	8	3	0	9	8	99	8	9	8	999	8	9	8	99	8	9	8	 	999	8	9	8	144	0	99	8	1097	0	2	999	0	0	0	54	0	0	0	 	0	0	1	0	0	999	9	1	0	0	0	0	 	0	9999	0	2	999	0	0	0	1	0	0	1	0	0	0	 	0	1	1	1	0	0	0	1	0	0	 	0	ESCAMBIA COUNTY
010000000070300000000	DRAPER CORRECTIONAL FACILITY	 	 	 	MONTGOMERY	AL	36130	P. O. BOX 1107	ELMORE	AL	36025	999	999	9999	9999	999	999	9999	 	2	1	3	 	1	0	0	0	0	0	0	0	0	0	0	 	1	3	9999	8	600	0	1939	0	0	0	0	1	9	9999	0	999	0	2	9999	0	9999	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	9	9999	1270	0	0	8	1240	0	1231	0	0	0	9	0	0	0	1240	0	376	0	861	0	0	0	0	0	0	0	0	0	0	0	3	0	OTHER	1240	0	1	0	897	0	244	0	98	0	1240	0	1235	0	5	0	0	0	1240	0	0	0	1	2	0	2	0	0	47	0	1	0	0	24	0	14	0	0	0	 	0	0	38	0	9999	8	9999	8	9999	8	999	8	9	8	9999	8	9999	8	9999	8	999	8	9	8	 	99	8	9999	8	2	9999	8	999	8	999	8	99	8	999	8	999	8	999	8	173	0	99	8	999	8	999	8	173	0	999	8	2	0	7	0	119	0	21	0	8	0	7	0	99	8	99	8	5	0	4	0	 	999	8	999	8	134	0	39	0	42	0	99	8	128	0	99	8	1	0	99	8	2	0	9	8	999	8	9	8	999	8	9	8	999	8	9	8	 	999	8	99	8	173	0	99	8	30	0	99	8	109	0	99	8	999	8	99	8	1	0	9	8	99	8	9	8	999	8	9	8	99	8	9	8	 	999	8	9	8	140	0	99	8	525	0	2	999	0	0	0	48	0	0	0	 	0	0	2	99	0	999	9	1	1	1	0	0	 	0	9999	0	2	999	0	1	1	1	0	0	1	0	0	0	 	0	1	1	0	0	1	0	1	0	0	 	0	ELMORE COUNTY
010000000070400000000	JULIA TUTWILER PRISON	 	 	 	MONTGOMERY	AL	36130	8966 US HWY 231 N	WETUMPKA	AL	36092	999	999	9999	9999	999	999	9999	 	2	2	2	 	1	0	0	1	0	0	0	0	0	0	0	 	1	3	9999	8	799	0	1942	0	0	0	0	1	9	9999	0	999	0	2	9999	0	9999	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	 	1	2004	0	0	944	0	902	0	0	0	901	0	0	0	1	0	902	0	555	0	346	0	0	0	1	0	0	0	0	0	0	0	0	0	 	902	0	5	0	305	0	395	0	197	0	902	0	879	0	23	0	0	0	902	0	2	0	2	0	0	2	0	0	14	0	1	0	0	16	0	5	0	2	0	 	0	0	23	0	9999	8	9999	8	9999	8	999	8	9	8	9999	8	9999	8	9999	8	999	8	9	8	 	99	8	9999	8	2	9999	8	999	8	999	8	99	8	999	8	999	8	999	8	142	0	99	8	999	8	999	8	142	0	999	8	1	0	8	0	46	0	55	0	8	0	11	0	0	8	0	8	5	0	8	0	 	0	8	0	8	60	0	82	0	36	0	99	8	106	0	99	8	999	8	99	8	99	8	9	8	999	8	9	8	999	8	9	8	999	8	9	8	 	999	8	99	8	142	0	99	8	14	0	99	8	87	0	99	8	999	8	99	8	99	8	9	8	99	8	9	8	999	8	9	8	99	8	9	8	 	999	8	9	8	101	0	99	8	897	0	2	999	0	0	0	52	0	0	0	 	0	0	1	2	0	999	9	1	0	0	0	0	 	0	9999	0	2	999	0	0	0	0	0	0	1	0	0	0	 	0	1	0	1	0	0	0	0	1	0	 	0	ELMORE COUNTY
010000000070500000000	FRANK LEE YOUTH CENTER	 	 	 	MONTGOMERY	AL	36130	P. O. BOX 220410	DEATSVILLE	AL	36022	999	999	9999	9999	999	999	9999	 	2	1	4	 	1	0	0	0	0	0	0	0	1	0	0	 	9	3	9999	8	104	0	1964	0	0	0	0	1	9	9999	0	999	0	2	9999	0	9999	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	9	9999	312	0	0	0	288	0	288	0	0	0	0	0	0	0	288	0	123	0	165	0	0	0	0	0	0	0	0	0	0	0	0	0	 	288	0	0	0	5	0	202	0	81	0	288	0	284	0	4	0	0	0	288	0	0	0	2	0	0	2	0	0	6	0	9	0	0	0	0	0	0	0	0	 	0	0	0	0	9999	8	9999	8	9999	8	999	8	9	8	9999	8	9999	8	9999	8	999	8	9	8	 	99	8	9999	8	2	9999	8	999	8	999	8	99	8	999	8	999	8	999	8	47	0	99	8	999	8	999	8	47	0	999	8	1	0	2	0	26	0	7	0	5	0	2	0	99	8	99	8	2	0	2	0	 	999	8	999	8	34	0	13	0	18	0	99	8	29	0	99	8	999	8	99	8	99	8	9	8	999	8	9	8	999	8	9	8	999	8	9	8	 	999	8	99	8	47	0	99	8	10	8	99	8	23	0	99	8	999	8	99	8	99	8	9	8	99	8	9	8	999	8	9	8	99	8	9	8	 	999	8	9	8	33	0	99	8	338	0	2	999	0	0	0	5	0	0	0	 	0	0	1	0	0	999	9	1	1	0	0	0	 	0	9999	0	2	999	0	0	0	1	0	0	1	0	0	0	 	0	1	1	0	0	0	0	0	0	0	 	0	ELMORE COUNTY
010000000070600000000	G.K. FOUNTAIN CORR FACILITY/J.O. DAVIS CORR F	 	 	 	MONTGOMERY	AL	36130	FOUNTAIN 3800	ATMORE	AL	365033800	999	999	9999	9999	999	999	9999	 	2	1	3	 	1	0	0	0	0	0	0	0	0	0	0	 	1	3	9999	8	632	0	1928	0	0	0	0	1	9	9999	0	999	0	2	9999	0	9999	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	9	9999	1651	0	0	0	1618	0	1618	0	0	0	0	0	0	0	1618	0	583	0	1030	0	0	0	0	0	1	0	0	0	0	0	4	0	OTHER	1618	0	5	0	824	0	644	0	145	0	1618	0	1607	0	11	0	0	0	1618	0	0	0	1	7	0	2	0	0	75	0	1	0	0	9	0	50	0	0	0	 	0	0	59	0	9999	8	9999	8	9999	8	999	8	9	8	9999	8	9999	8	9999	8	999	8	9	8	 	99	8	9999	8	2	9999	8	999	8	999	8	99	8	999	8	999	8	999	8	164	0	99	8	999	8	999	8	164	0	999	8	2	0	6	0	96	0	26	0	12	0	17	0	99	8	99	8	5	0	999	8	 	999	8	999	8	115	0	49	0	78	0	99	8	83	0	99	8	999	8	99	8	2	0	9	8	999	8	9	8	1	0	9	8	999	8	9	8	 	999	8	99	8	164	0	99	8	55	0	99	8	65	0	99	8	999	8	99	8	2	0	9	8	99	8	9	8	999	8	9	8	99	8	9	8	 	999	8	9	8	122	0	99	8	2056	0	2	999	0	0	0	42	0	0	0	 	0	0	1	0	0	999	9	0	1	1	0	1	BEEF CATTLE OPERATION	0	9999	0	2	999	0	1	1	1	1	0	1	0	0	0	 	0	1	1	0	0	0	0	1	1	0	 	0	ESCAMBIA COUNTY
010000000070700000000	FARQUHAR STATE CATTLE RANCH	 	 	 	MONTGOMERY	AL	36130	1132 CR 73	GREENSBORO	AL	367449313	999	999	9999	9999	999	999	9999	 	2	1	4	 	1	0	0	0	0	1	0	0	0	0	1	PRISON FARM	1	3	9999	8	84	0	1940	0	0	0	0	1	9	9999	0	999	0	2	9999	0	9999	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	9	9999	98	0	0	0	91	0	91	0	0	0	0	0	0	0	91	0	41	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	 	91	0	0	0	0	0	84	0	7	0	91	0	91	0	0	0	0	0	91	0	0	0	2	0	0	2	0	0	3	0	9	0	0	0	0	0	0	0	0	 	0	0	0	0	9999	8	9999	8	9999	8	999	8	9	8	9999	8	9999	8	9999	8	999	8	9	8	 	99	8	9999	8	2	9999	8	999	8	999	8	99	8	999	8	999	8	999	8	8	0	99	8	999	8	999	8	8	0	999	8	99	8	99	8	6	0	999	8	1	0	1	0	99	8	99	8	999	8	999	8	 	999	8	999	8	7	0	1	0	2	0	99	8	6	0	99	8	999	8	99	8	99	8	9	8	999	8	9	8	999	8	9	8	999	8	9	8	 	0	8	99	8	8	0	99	8	2	0	99	8	4	0	99	8	999	8	99	8	99	8	9	8	99	8	9	8	999	8	9	8	99	8	9	8	 	999	8	9	8	6	0	99	8	3	0	2	999	0	0	0	0	0	0	0	 	0	0	2	99	0	999	9	1	0	1	0	1	CATFISH PRODUCTION	0	9999	0	2	999	0	1	1	1	0	0	1	0	0	0	 	0	1	1	0	0	0	0	0	0	0	 	0	HALE COUNTY
010000000070800000000	RED EAGLE HONOR FARM	 	 	 	MONTGOMERY	AL	36130	1290 RED EAGLE ROAD	MONTGOMERY	AL	36110	999	999	9999	9999	999	999	9999	 	2	1	4	 	1	0	0	0	0	1	0	0	0	0	1	PRISON FARM	11	3	9999	8	104	0	1972	0	0	0	0	1	9	9999	0	999	0	2	9999	0	9999	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	9	9999	232	0	0	0	301	0	301	0	0	0	0	0	0	0	301	0	118	0	183	0	0	0	0	0	0	0	0	0	0	0	0	0	 	301	0	0	0	10	0	197	0	94	0	301	0	286	0	15	0	0	0	301	0	0	0	2	0	0	2	0	0	18	0	2	0	0	0	0	0	0	0	0	 	0	0	0	0	9999	8	9999	8	9999	8	999	8	9	8	9999	8	9999	8	9999	8	999	8	9	8	 	99	8	9999	8	2	9999	8	999	8	999	8	99	8	999	8	999	8	999	8	36	0	99	8	999	8	999	8	36	0	999	8	1	0	1	0	23	0	3	0	3	0	3	0	99	8	99	8	1	0	1	0	 	999	8	999	8	28	0	8	0	13	0	99	8	23	0	99	8	999	8	99	8	99	8	9	8	999	8	9	8	999	8	9	8	999	8	9	8	 	999	8	99	8	36	0	99	8	9	0	99	8	17	0	99	8	999	8	99	8	99	8	9	8	99	8	9	8	999	8	9	8	99	8	9	8	 	999	8	9	8	26	0	99	8	294	0	2	999	0	0	0	5	0	0	0	 	0	0	2	0	0	999	0	0	1	1	0	0	 	0	9999	0	2	999	0	0	0	1	0	0	0	0	0	1	RELIGIOUS PROGRAM	0	1	1	0	0	0	0	0	0	0	 	0	MONTGOMERY COUNTY
010000000070900000000	STATON CORRECTIONAL FACILITY	 	 	 	MONTGOMERY	AL	36130	P. O. BOX 56	ELMORE	AL	36025	999	999	9999	9999	999	999	9999	 	2	1	3	 	1	0	0	0	0	0	0	0	0	0	0	 	1	3	9999	8	508	1	1978	0	0	0	0	1	9	9999	0	999	0	2	9999	0	9999	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	9	9999	1392	0	0	0	1376	0	1376	0	0	0	0	0	0	0	1376	0	418	0	952	0	0	0	1	0	0	0	0	0	0	0	5	0	OTHER	1376	0	2	0	1041	0	224	0	109	0	1376	0	1372	0	4	0	0	0	1376	0	0	0	1	3	0	2	0	0	76	0	1	0	0	2	0	6	0	0	0	 	0	0	8	0	9999	8	9999	8	9999	8	999	8	9	8	9999	8	9999	8	9999	8	999	8	9	8	 	99	8	9999	8	2	9999	8	999	8	999	8	99	8	999	8	999	8	999	8	154	0	99	8	999	8	999	8	154	0	999	8	2	0	6	0	96	0	19	0	7	0	11	0	99	8	99	8	5	0	8	0	 	999	8	999	8	110	0	44	0	38	0	99	8	116	0	99	8	999	8	99	8	99	8	9	8	999	8	9	8	999	8	9	8	999	8	9	8	 	999	8	99	8	154	0	99	8	27	0	99	8	88	0	99	8	999	8	99	8	99	8	9	8	99	8	9	8	999	8	9	8	99	8	9	8	 	999	8	9	8	115	0	99	8	897	0	2	999	0	0	0	39	0	0	0	 	0	0	2	0	0	999	0	0	0	0	0	0	 	1	9999	0	2	999	0	0	0	1	0	0	1	0	0	0	 	0	1	1	1	0	0	0	0	0	0	 	0	ELMORE COUNTY
010000000071000000000	HAMILTON WORK RELEASE AND COMM WORK CTR	 	 	 	MONTGOMERY	AL	36130	1826 BEXAR AVE. EAST	HAMILTON	AL	355701628	999	999	9999	9999	999	999	9999	 	2	1	4	 	0	0	0	0	0	1	0	0	0	0	0	 	6	1	9999	8	116	0	1976	0	0	0	0	1	9	9999	0	999	0	2	9999	0	9999	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	9	9999	153	0	0	0	141	0	141	0	0	0	0	0	0	0	141	0	61	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	 	141	0	0	0	2	0	39	0	100	0	141	0	140	1	1	0	0	0	141	0	0	0	2	0	0	2	0	0	8	0	2	0	0	0	0	0	0	0	0	 	0	0	0	0	9999	8	9999	8	9999	8	999	8	9	8	9999	8	9999	8	9999	8	999	8	9	8	 	99	8	9999	8	2	9999	8	999	8	999	8	99	8	999	8	999	8	999	8	21	0	99	8	999	8	999	8	21	0	999	8	1	0	99	8	16	0	999	8	1	0	3	0	99	8	99	8	999	8	999	8	 	999	8	999	8	18	0	3	0	19	0	99	8	2	0	99	8	999	8	99	8	99	8	9	8	999	8	9	8	999	8	9	8	999	8	9	8	 	999	8	99	8	21	0	99	8	15	0	99	8	1	0	99	8	999	8	99	8	99	8	9	8	99	8	9	8	999	8	9	8	99	8	9	8	 	999	8	9	8	16	0	99	8	113	0	2	999	0	0	0	2	0	0	0	 	0	0	2	99	0	999	9	0	0	0	1	0	 	0	9999	0	1	91	0	0	0	1	0	0	0	0	0	0	 	0	1	1	1	0	0	0	0	0	0	 	0	MARION COUNTY
